framework,dataset,task,is_correct,overall_accuracy,reasoning_alignment
agency_swarm,bbh,boolean_expressions,True,66.66666666666666,
agency_swarm,bbh,boolean_expressions,True,66.66666666666666,
agency_swarm,bbh,causal_judgement,False,66.66666666666666,
agency_swarm,bbh,causal_judgement,False,66.66666666666666,
agency_swarm,bbh,date_understanding,True,66.66666666666666,
agency_swarm,bbh,date_understanding,True,66.66666666666666,
agentzero,bbh,boolean_expressions,True,66.66666666666666,
agentzero,bbh,boolean_expressions,True,66.66666666666666,
agentzero,bbh,causal_judgement,False,66.66666666666666,
agentzero,bbh,causal_judgement,False,66.66666666666666,
agentzero,bbh,date_understanding,True,66.66666666666666,
agentzero,bbh,date_understanding,True,66.66666666666666,
anus,bbh,boolean_expressions,True,83.33333333333334,
anus,bbh,boolean_expressions,True,83.33333333333334,
anus,bbh,causal_judgement,True,83.33333333333334,
anus,bbh,causal_judgement,False,83.33333333333334,
anus,bbh,date_understanding,True,83.33333333333334,
anus,bbh,date_understanding,True,83.33333333333334,
autogen,bbh,boolean_expressions,False,50.0,
autogen,bbh,boolean_expressions,True,50.0,
autogen,bbh,causal_judgement,False,50.0,
autogen,bbh,causal_judgement,False,50.0,
autogen,bbh,date_understanding,True,50.0,
autogen,bbh,date_understanding,True,50.0,
babyagi,bbh,boolean_expressions,True,100.0,
babyagi,bbh,boolean_expressions,True,100.0,
babyagi,bbh,causal_judgement,True,100.0,
babyagi,bbh,causal_judgement,True,100.0,
babyagi,bbh,date_understanding,True,100.0,
babyagi,bbh,date_understanding,True,100.0,
autogpt,bbh,boolean_expressions,True,66.66666666666666,
autogpt,bbh,boolean_expressions,True,66.66666666666666,
autogpt,bbh,causal_judgement,False,66.66666666666666,
autogpt,bbh,causal_judgement,False,66.66666666666666,
autogpt,bbh,date_understanding,True,66.66666666666666,
autogpt,bbh,date_understanding,True,66.66666666666666,
camel-ai,bbh,boolean_expressions,True,50.0,
camel-ai,bbh,boolean_expressions,True,50.0,
camel-ai,bbh,causal_judgement,False,50.0,
camel-ai,bbh,causal_judgement,False,50.0,
camel-ai,bbh,date_understanding,False,50.0,
camel-ai,bbh,date_understanding,True,50.0,
crewai,bbh,boolean_expressions,True,66.66666666666666,
crewai,bbh,boolean_expressions,True,66.66666666666666,
crewai,bbh,causal_judgement,False,66.66666666666666,
crewai,bbh,causal_judgement,True,66.66666666666666,
crewai,bbh,date_understanding,True,66.66666666666666,
crewai,bbh,date_understanding,False,66.66666666666666,
google_adk,bbh,boolean_expressions,True,66.66666666666666,
google_adk,bbh,boolean_expressions,True,66.66666666666666,
google_adk,bbh,causal_judgement,False,66.66666666666666,
google_adk,bbh,causal_judgement,False,66.66666666666666,
google_adk,bbh,date_understanding,True,66.66666666666666,
google_adk,bbh,date_understanding,True,66.66666666666666,
intentkit,bbh,boolean_expressions,True,66.66666666666666,
intentkit,bbh,boolean_expressions,True,66.66666666666666,
intentkit,bbh,causal_judgement,False,66.66666666666666,
intentkit,bbh,causal_judgement,False,66.66666666666666,
intentkit,bbh,date_understanding,True,66.66666666666666,
intentkit,bbh,date_understanding,True,66.66666666666666,
langchain,bbh,boolean_expressions,True,100.0,
langchain,bbh,boolean_expressions,True,100.0,
langchain,bbh,causal_judgement,True,100.0,
langchain,bbh,causal_judgement,True,100.0,
langchain,bbh,date_understanding,True,100.0,
langchain,bbh,date_understanding,True,100.0,
langgraph,bbh,boolean_expressions,True,83.33333333333334,
langgraph,bbh,boolean_expressions,True,83.33333333333334,
langgraph,bbh,causal_judgement,False,83.33333333333334,
langgraph,bbh,causal_judgement,True,83.33333333333334,
langgraph,bbh,date_understanding,True,83.33333333333334,
langgraph,bbh,date_understanding,True,83.33333333333334,
letta,bbh,boolean_expressions,True,66.66666666666666,
letta,bbh,boolean_expressions,True,66.66666666666666,
letta,bbh,causal_judgement,False,66.66666666666666,
letta,bbh,causal_judgement,False,66.66666666666666,
letta,bbh,date_understanding,True,66.66666666666666,
letta,bbh,date_understanding,True,66.66666666666666,
livekit,bbh,boolean_expressions,True,83.33333333333334,
livekit,bbh,boolean_expressions,True,83.33333333333334,
livekit,bbh,causal_judgement,False,83.33333333333334,
livekit,bbh,causal_judgement,True,83.33333333333334,
livekit,bbh,date_understanding,True,83.33333333333334,
livekit,bbh,date_understanding,True,83.33333333333334,
mastra,bbh,boolean_expressions,True,83.33333333333334,
mastra,bbh,boolean_expressions,True,83.33333333333334,
mastra,bbh,causal_judgement,True,83.33333333333334,
mastra,bbh,causal_judgement,False,83.33333333333334,
mastra,bbh,date_understanding,True,83.33333333333334,
mastra,bbh,date_understanding,True,83.33333333333334,
metagpt,bbh,boolean_expressions,True,50.0,
metagpt,bbh,boolean_expressions,False,50.0,
metagpt,bbh,causal_judgement,False,50.0,
metagpt,bbh,causal_judgement,False,50.0,
metagpt,bbh,date_understanding,True,50.0,
metagpt,bbh,date_understanding,True,50.0,
openai-agents,bbh,boolean_expressions,True,83.33333333333334,
openai-agents,bbh,boolean_expressions,True,83.33333333333334,
openai-agents,bbh,causal_judgement,False,83.33333333333334,
openai-agents,bbh,causal_judgement,True,83.33333333333334,
openai-agents,bbh,date_understanding,True,83.33333333333334,
openai-agents,bbh,date_understanding,True,83.33333333333334,
praisonai,bbh,boolean_expressions,True,83.33333333333334,
praisonai,bbh,boolean_expressions,True,83.33333333333334,
praisonai,bbh,causal_judgement,True,83.33333333333334,
praisonai,bbh,causal_judgement,False,83.33333333333334,
praisonai,bbh,date_understanding,True,83.33333333333334,
praisonai,bbh,date_understanding,True,83.33333333333334,
pydantic,bbh,boolean_expressions,True,83.33333333333334,
pydantic,bbh,boolean_expressions,True,83.33333333333334,
pydantic,bbh,causal_judgement,False,83.33333333333334,
pydantic,bbh,causal_judgement,True,83.33333333333334,
pydantic,bbh,date_understanding,True,83.33333333333334,
pydantic,bbh,date_understanding,True,83.33333333333334,
qwen_agent,bbh,boolean_expressions,True,83.33333333333334,
qwen_agent,bbh,boolean_expressions,True,83.33333333333334,
qwen_agent,bbh,causal_judgement,False,83.33333333333334,
qwen_agent,bbh,causal_judgement,True,83.33333333333334,
qwen_agent,bbh,date_understanding,True,83.33333333333334,
qwen_agent,bbh,date_understanding,True,83.33333333333334,
semantic-kernel,bbh,boolean_expressions,True,83.33333333333334,
semantic-kernel,bbh,boolean_expressions,True,83.33333333333334,
semantic-kernel,bbh,causal_judgement,False,83.33333333333334,
semantic-kernel,bbh,causal_judgement,True,83.33333333333334,
semantic-kernel,bbh,date_understanding,True,83.33333333333334,
semantic-kernel,bbh,date_understanding,True,83.33333333333334,
superagi,bbh,boolean_expressions,True,83.33333333333334,
superagi,bbh,boolean_expressions,True,83.33333333333334,
superagi,bbh,causal_judgement,False,83.33333333333334,
superagi,bbh,causal_judgement,True,83.33333333333334,
superagi,bbh,date_understanding,True,83.33333333333334,
superagi,bbh,date_understanding,True,83.33333333333334,
swarm,bbh,boolean_expressions,True,66.66666666666666,
swarm,bbh,boolean_expressions,True,66.66666666666666,
swarm,bbh,causal_judgement,False,66.66666666666666,
swarm,bbh,causal_judgement,False,66.66666666666666,
swarm,bbh,date_understanding,True,66.66666666666666,
swarm,bbh,date_understanding,True,66.66666666666666,
upsonic,bbh,boolean_expressions,False,83.33333333333334,
upsonic,bbh,boolean_expressions,True,83.33333333333334,
upsonic,bbh,causal_judgement,True,83.33333333333334,
upsonic,bbh,causal_judgement,True,83.33333333333334,
upsonic,bbh,date_understanding,True,83.33333333333334,
upsonic,bbh,date_understanding,True,83.33333333333334,
taskweaver,bbh,boolean_expressions,False,0.0,
taskweaver,bbh,boolean_expressions,False,0.0,
taskweaver,bbh,causal_judgement,False,0.0,
taskweaver,bbh,causal_judgement,False,0.0,
taskweaver,bbh,date_understanding,False,0.0,
taskweaver,bbh,date_understanding,False,0.0,
agency_swarm,arc,ARC-Easy,True,100.0,
agency_swarm,arc,ARC-Easy,True,100.0,
agency_swarm,arc,ARC-Easy,True,100.0,
agentzero,arc,ARC-Easy,False,0.0,
agentzero,arc,ARC-Easy,False,0.0,
agentzero,arc,ARC-Easy,False,0.0,
anus,arc,ARC-Easy,False,0.0,
anus,arc,ARC-Easy,False,0.0,
anus,arc,ARC-Easy,False,0.0,
autogen,arc,ARC-Easy,True,100.0,
autogen,arc,ARC-Easy,True,100.0,
autogen,arc,ARC-Easy,True,100.0,
babyagi,arc,ARC-Easy,True,100.0,
babyagi,arc,ARC-Easy,True,100.0,
babyagi,arc,ARC-Easy,True,100.0,
autogpt,arc,ARC-Easy,False,0.0,
autogpt,arc,ARC-Easy,False,0.0,
autogpt,arc,ARC-Easy,False,0.0,
camel-ai,arc,ARC-Easy,True,100.0,
camel-ai,arc,ARC-Easy,True,100.0,
camel-ai,arc,ARC-Easy,True,100.0,
crewai,arc,ARC-Easy,True,100.0,
crewai,arc,ARC-Easy,True,100.0,
crewai,arc,ARC-Easy,True,100.0,
google_adk,arc,ARC-Easy,True,100.0,
google_adk,arc,ARC-Easy,True,100.0,
google_adk,arc,ARC-Easy,True,100.0,
intentkit,arc,ARC-Easy,True,100.0,
intentkit,arc,ARC-Easy,True,100.0,
intentkit,arc,ARC-Easy,True,100.0,
langchain,arc,ARC-Easy,False,66.66666666666666,
langchain,arc,ARC-Easy,True,66.66666666666666,
langchain,arc,ARC-Easy,True,66.66666666666666,
langgraph,arc,ARC-Easy,True,66.66666666666666,
langgraph,arc,ARC-Easy,True,66.66666666666666,
langgraph,arc,ARC-Easy,False,66.66666666666666,
letta,arc,ARC-Easy,False,66.66666666666666,
letta,arc,ARC-Easy,True,66.66666666666666,
letta,arc,ARC-Easy,True,66.66666666666666,
livekit,arc,ARC-Easy,True,100.0,
livekit,arc,ARC-Easy,True,100.0,
livekit,arc,ARC-Easy,True,100.0,
mastra,arc,ARC-Easy,False,66.66666666666666,
mastra,arc,ARC-Easy,True,66.66666666666666,
mastra,arc,ARC-Easy,True,66.66666666666666,
metagpt,arc,ARC-Easy,True,100.0,
metagpt,arc,ARC-Easy,True,100.0,
metagpt,arc,ARC-Easy,True,100.0,
openai-agents,arc,ARC-Easy,True,100.0,
openai-agents,arc,ARC-Easy,True,100.0,
openai-agents,arc,ARC-Easy,True,100.0,
praisonai,arc,ARC-Easy,True,100.0,
praisonai,arc,ARC-Easy,True,100.0,
praisonai,arc,ARC-Easy,True,100.0,
pydantic,arc,ARC-Easy,True,100.0,
pydantic,arc,ARC-Easy,True,100.0,
pydantic,arc,ARC-Easy,True,100.0,
qwen_agent,arc,ARC-Easy,False,66.66666666666666,
qwen_agent,arc,ARC-Easy,True,66.66666666666666,
qwen_agent,arc,ARC-Easy,True,66.66666666666666,
semantic-kernel,arc,ARC-Easy,True,100.0,
semantic-kernel,arc,ARC-Easy,True,100.0,
semantic-kernel,arc,ARC-Easy,True,100.0,
superagi,arc,ARC-Easy,True,100.0,
superagi,arc,ARC-Easy,True,100.0,
superagi,arc,ARC-Easy,True,100.0,
swarm,arc,ARC-Easy,False,0.0,
swarm,arc,ARC-Easy,False,0.0,
swarm,arc,ARC-Easy,False,0.0,
upsonic,arc,ARC-Easy,False,0.0,
upsonic,arc,ARC-Easy,False,0.0,
upsonic,arc,ARC-Easy,False,0.0,
taskweaver,arc,ARC-Easy,True,66.66666666666666,
taskweaver,arc,ARC-Easy,False,66.66666666666666,
taskweaver,arc,ARC-Easy,True,66.66666666666666,
agency_swarm,gsm8k,GSM8K,True,100.0,0.0
agency_swarm,gsm8k,GSM8K,True,100.0,0.0
agency_swarm,gsm8k,GSM8K,True,100.0,1.0
agentzero,gsm8k,GSM8K,True,100.0,1.0
agentzero,gsm8k,GSM8K,True,100.0,1.0
agentzero,gsm8k,GSM8K,True,100.0,1.0
anus,gsm8k,GSM8K,True,100.0,1.0
anus,gsm8k,GSM8K,True,100.0,1.0
anus,gsm8k,GSM8K,True,100.0,1.0
autogen,gsm8k,GSM8K,True,100.0,1.0
autogen,gsm8k,GSM8K,True,100.0,1.0
autogen,gsm8k,GSM8K,True,100.0,1.0
babyagi,gsm8k,GSM8K,True,100.0,1.0
babyagi,gsm8k,GSM8K,True,100.0,1.0
babyagi,gsm8k,GSM8K,True,100.0,1.0
autogpt,gsm8k,GSM8K,True,100.0,1.0
autogpt,gsm8k,GSM8K,True,100.0,1.0
