framework,arc,bbh,gsm8k,Average
babyagi,100.0,100.0,100.0,100.0
praisonai,100.0,83.33333333333334,100.0,94.44444444444446
pydantic,100.0,83.33333333333334,100.0,94.44444444444446
semantic-kernel,100.0,83.33333333333334,100.0,94.44444444444446
superagi,100.0,83.33333333333334,100.0,94.44444444444446
livekit,100.0,83.33333333333334,100.0,94.44444444444446
openai-agents,100.0,83.33333333333334,100.0,94.44444444444446
agency_swarm,100.0,66.66666666666666,100.0,88.88888888888887
crewai,100.0,66.66666666666666,100.0,88.88888888888887
langchain,66.66666666666666,100.0,100.0,88.88888888888887
google_adk,100.0,66.66666666666666,100.0,88.88888888888887
metagpt,100.0,50.0,100.0,83.33333333333333
camel-ai,100.0,50.0,100.0,83.33333333333333
autogen,100.0,50.0,100.0,83.33333333333333
mastra,66.66666666666666,83.33333333333334,100.0,83.33333333333333
langgraph,66.66666666666666,83.33333333333334,100.0,83.33333333333333
intentkit,100.0,66.66666666666666,66.66666666666666,77.77777777777777
anus,0.0,83.33333333333334,100.0,61.111111111111114
upsonic,0.0,83.33333333333334,100.0,61.111111111111114
qwen_agent,66.66666666666666,83.33333333333334,33.33333333333333,61.11111111111111
autogpt,0.0,66.66666666666666,100.0,55.55555555555555
agentzero,0.0,66.66666666666666,100.0,55.55555555555555
swarm,0.0,66.66666666666666,100.0,55.55555555555555
letta,66.66666666666666,66.66666666666666,33.33333333333333,55.55555555555554
taskweaver,66.66666666666666,0.0,33.33333333333333,33.33333333333333
